risk_id,risk_title,risk_description,department,risk_category,asset_type,risk_owner,likelihood,impact,asset_criticality,data_sensitivity,vulnerability_count,critical_vulnerability_count,past_incident_count,policy_violation_count,audit_finding_count,third_party_dependency,number_of_controls,control_effectiveness,control_test_pass_rate,days_since_control_test,open_control_deficiencies,regulatory_relevance,treatment_status,treatment_due_days,risk_accepted,days_open,inherent_risk_score,residual_risk_score,adjusted_risk_score,risk_level,action_status
R03170,Operational risk affecting network infrastructure,Potential operational event may affect the network infrastructure used by Human Resources.,Human Resources,Operational,Network Infrastructure,A. Perera,3,4,1,4,5,1,1,1,1,0,3,0.615,0.578,107,2,PCI DSS,Implemented,-247,0,279,12,4.62,6.76,Medium,Closed
R03171,Regulatory Compliance risk affecting network infrastructure,Potential regulatory compliance event may affect the network infrastructure used by Procurement.,Procurement,Regulatory Compliance,Network Infrastructure,R. Gunawardena,2,3,4,4,5,0,1,1,1,0,3,0.68,0.889,133,1,NIST CSF,In Progress,57,0,498,6,1.92,4.05,Low,Open
R03172,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Procurement.,Procurement,Cybersecurity,Cloud Service,N. Silva,4,4,3,2,7,1,1,2,0,0,2,0.707,0.816,442,2,None,Implemented,-58,0,443,16,4.69,5.65,Medium,Closed
R03173,Cybersecurity risk affecting hr platform,Potential cybersecurity event may affect the hr platform used by Human Resources.,Human Resources,Cybersecurity,HR Platform,A. Perera,3,3,4,3,14,0,0,3,0,0,2,0.427,0.586,104,3,None,Risk Accepted,21,1,222,9,5.16,7.73,Medium,Open
R03174,Third-Party risk affecting payment system,Potential third-party event may affect the payment system used by Information Technology.,Information Technology,Third-Party,Payment System,D. Senanayake,4,4,4,4,12,2,3,2,2,1,7,0.751,0.699,481,2,ISO 27001,Risk Accepted,-78,1,255,16,3.99,7.17,Medium,Open
R03175,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Information Technology.,Information Technology,Access Management,ERP System,S. Jayasinghe,4,5,4,3,6,3,1,1,1,0,7,0.375,0.458,66,3,SOX,In Progress,7,0,553,20,12.5,16.52,Critical,Open
R03176,Cybersecurity risk affecting cloud service,Potential cybersecurity event may affect the cloud service used by Finance.,Finance,Cybersecurity,Cloud Service,R. Gunawardena,3,3,3,2,13,1,0,1,1,0,1,0.76,0.815,268,1,None,Implemented,-117,0,555,9,2.16,2.61,Low,Closed
R03177,Financial risk affecting endpoint fleet,Potential financial event may affect the endpoint fleet used by Procurement.,Procurement,Financial,Endpoint Fleet,N. Silva,2,4,2,3,5,0,1,0,3,1,5,0.319,0.353,404,3,PCI DSS,Implemented,-313,0,469,8,5.45,7.07,Medium,Closed
R03178,Data Privacy risk affecting database,Potential data privacy event may affect the database used by Sales.,Sales,Data Privacy,Database,T. Karunaratne,5,2,3,2,5,2,0,1,1,0,7,0.594,0.517,181,2,SOX,Implemented,-132,0,498,10,4.06,3.4,Low,Closed
R03179,Financial risk affecting erp system,Potential financial event may affect the erp system used by Operations.,Operations,Financial,ERP System,K. Fernando,3,4,3,3,1,1,1,2,1,0,4,0.879,0.825,115,0,ISO 27001,Risk Accepted,-248,1,472,12,1.45,2.29,Low,Open
R03180,Operational risk affecting network infrastructure,Potential operational event may affect the network infrastructure used by Sales.,Sales,Operational,Network Infrastructure,N. Silva,3,4,3,3,9,1,1,0,1,1,5,0.827,0.927,232,1,None,Not Started,-125,0,811,12,2.07,3.17,Low,Overdue
R03181,Business Continuity risk affecting database,Potential business continuity event may affect the database used by Finance.,Finance,Business Continuity,Database,D. Senanayake,3,3,3,5,11,2,0,3,0,0,4,0.49,0.616,199,3,Local Privacy Law,Not Started,221,0,125,9,4.59,7.1,Medium,Open
R03182,Access Management risk affecting web application,Potential access management event may affect the web application used by Operations.,Operations,Access Management,Web Application,M. Wijesinghe,3,2,1,4,2,0,1,1,1,0,1,0.404,0.384,440,4,SOX,Planned,120,0,138,6,3.57,4.62,Low,Open
R03183,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Sales.,Sales,Operational,Endpoint Fleet,M. Wijesinghe,4,4,3,3,13,0,0,2,1,1,1,0.741,0.793,232,1,None,Not Started,-76,0,510,16,4.14,3.93,Low,Overdue
R03184,Access Management risk affecting payment system,Potential access management event may affect the payment system used by Operations.,Operations,Access Management,Payment System,N. Silva,2,4,3,3,3,1,0,1,2,0,5,0.491,0.436,179,2,None,Not Started,-156,0,668,8,4.08,4.37,Low,Overdue
R03185,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Information Technology.,Information Technology,Data Privacy,Endpoint Fleet,S. Jayasinghe,2,2,4,4,2,0,0,0,1,0,6,0.523,0.557,106,2,SOX,Planned,131,0,508,4,1.91,3.15,Low,Open
R03186,Third-Party risk affecting database,Potential third-party event may affect the database used by Information Technology.,Information Technology,Third-Party,Database,D. Senanayake,3,3,4,4,1,0,1,0,0,1,3,0.509,0.419,98,0,Local Privacy Law,Implemented,-136,0,312,9,4.42,5.45,Low,Closed
R03187,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Information Technology.,Information Technology,Access Management,Vendor Service,R. Gunawardena,4,1,3,3,0,0,1,3,2,1,5,0.594,0.456,223,2,Local Privacy Law,Not Started,56,0,762,4,1.62,0.63,Low,Open
R03188,Financial risk affecting erp system,Potential financial event may affect the erp system used by Procurement.,Procurement,Financial,ERP System,S. Jayasinghe,4,2,3,2,13,1,2,1,1,0,3,0.652,0.576,271,2,GDPR,Planned,47,0,467,8,2.78,6.27,Medium,Open
R03189,Business Continuity risk affecting network infrastructure,Potential business continuity event may affect the network infrastructure used by Sales.,Sales,Business Continuity,Network Infrastructure,T. Karunaratne,3,4,5,2,3,0,2,1,3,0,6,0.55,0.568,92,4,None,Planned,190,0,867,12,5.4,10.81,High,Open
R03190,Data Privacy risk affecting hr platform,Potential data privacy event may affect the hr platform used by Human Resources.,Human Resources,Data Privacy,HR Platform,T. Karunaratne,4,2,2,3,18,5,1,0,1,0,1,0.656,0.637,429,3,Local Privacy Law,In Progress,-154,0,540,8,2.75,5.94,Medium,Overdue
R03191,Access Management risk affecting vendor service,Potential access management event may affect the vendor service used by Sales.,Sales,Access Management,Vendor Service,T. Karunaratne,4,4,2,3,17,0,0,1,0,1,3,0.602,0.54,302,1,SOX,Risk Accepted,-169,1,229,16,6.38,6.41,Medium,Open
R03192,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Procurement.,Procurement,Access Management,ERP System,T. Karunaratne,3,2,4,3,11,0,1,4,4,1,1,0.369,0.351,253,2,None,Implemented,-97,0,152,6,3.79,7.98,Medium,Closed
R03193,Regulatory Compliance risk affecting network infrastructure,Potential regulatory compliance event may affect the network infrastructure used by Procurement.,Procurement,Regulatory Compliance,Network Infrastructure,S. Jayasinghe,4,2,3,4,2,0,2,2,0,0,6,0.479,0.4,393,2,NIST CSF,In Progress,94,0,89,8,4.17,6.56,Medium,Open
R03194,Financial risk affecting database,Potential financial event may affect the database used by Operations.,Operations,Financial,Database,K. Fernando,3,4,3,3,10,0,0,0,0,0,6,0.888,0.929,463,0,SOX,Implemented,-183,0,627,12,1.35,1.99,Low,Closed
R03195,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Information Technology.,Information Technology,Data Privacy,Cloud Service,S. Jayasinghe,2,3,4,2,4,0,0,2,0,0,7,0.666,0.617,452,3,PCI DSS,In Progress,194,0,712,6,2.0,4.07,Low,Open
R03196,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Procurement.,Procurement,Third-Party,Cloud Service,N. Silva,2,4,3,2,0,0,0,2,4,1,3,0.35,0.331,144,7,None,In Progress,-30,0,458,8,5.2,10.36,High,Overdue
R03197,Financial risk affecting web application,Potential financial event may affect the web application used by Information Technology.,Information Technology,Financial,Web Application,S. Jayasinghe,1,2,4,4,6,0,1,0,1,1,4,0.786,0.901,271,0,GDPR,Not Started,7,0,439,2,0.43,2.14,Low,Open
R03198,Operational risk affecting erp system,Potential operational event may affect the erp system used by Procurement.,Procurement,Operational,ERP System,R. Gunawardena,2,3,2,3,6,1,0,1,0,0,6,0.66,0.568,373,0,SOX,Risk Accepted,-19,1,888,6,2.04,1.94,Low,Open
R03199,Business Continuity risk affecting network infrastructure,Potential business continuity event may affect the network infrastructure used by Finance.,Finance,Business Continuity,Network Infrastructure,R. Gunawardena,3,4,1,4,4,1,0,1,1,1,5,0.643,0.717,107,1,GDPR,Implemented,32,0,571,12,4.28,5.45,Low,Closed
R03200,Access Management risk affecting network infrastructure,Potential access management event may affect the network infrastructure used by Information Technology.,Information Technology,Access Management,Network Infrastructure,M. Wijesinghe,3,3,2,4,8,1,1,1,1,0,1,0.765,0.721,131,2,SOX,Planned,231,0,486,9,2.11,5.58,Medium,Open
R03201,Cybersecurity risk affecting payment system,Potential cybersecurity event may affect the payment system used by Finance.,Finance,Cybersecurity,Payment System,M. Wijesinghe,4,4,4,3,10,1,1,0,2,0,4,0.564,0.561,171,1,ISO 27001,In Progress,184,0,285,16,6.97,9.04,Medium,Open
R03202,Third-Party risk affecting network infrastructure,Potential third-party event may affect the network infrastructure used by Legal.,Legal,Third-Party,Network Infrastructure,M. Wijesinghe,3,4,2,2,5,1,1,3,1,1,4,0.723,0.734,313,1,None,In Progress,228,0,742,12,3.32,5.26,Low,Open
R03203,Third-Party risk affecting endpoint fleet,Potential third-party event may affect the endpoint fleet used by Operations.,Operations,Third-Party,Endpoint Fleet,S. Jayasinghe,2,1,4,3,2,1,0,1,0,1,3,0.758,0.73,99,1,GDPR,Not Started,209,0,514,2,0.48,1.77,Low,Open
R03204,Cybersecurity risk affecting network infrastructure,Potential cybersecurity event may affect the network infrastructure used by Operations.,Operations,Cybersecurity,Network Infrastructure,N. Silva,2,4,4,4,11,1,2,0,1,1,7,0.792,0.875,235,2,ISO 27001,In Progress,-94,0,85,8,1.66,6.28,Medium,Overdue
R03205,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Information Technology.,Information Technology,Data Privacy,Endpoint Fleet,N. Silva,2,4,3,2,11,2,1,1,5,1,4,0.678,0.65,69,3,PCI DSS,Planned,10,0,433,8,2.58,5.54,Medium,Open
R03206,Regulatory Compliance risk affecting network infrastructure,Potential regulatory compliance event may affect the network infrastructure used by Finance.,Finance,Regulatory Compliance,Network Infrastructure,M. Wijesinghe,4,2,3,4,4,0,1,3,1,1,6,0.765,0.717,27,2,ISO 27001,Planned,108,0,549,8,1.88,4.03,Low,Open
R03207,Operational risk affecting database,Potential operational event may affect the database used by Sales.,Sales,Operational,Database,D. Senanayake,2,3,3,5,11,2,1,0,0,0,1,0.874,0.833,237,0,SOX,Not Started,-78,0,352,6,0.76,1.85,Low,Overdue
R03208,Data Privacy risk affecting database,Potential data privacy event may affect the database used by Information Technology.,Information Technology,Data Privacy,Database,T. Karunaratne,2,2,3,4,2,1,1,2,1,1,7,0.722,0.618,434,3,GDPR,Not Started,-72,0,210,4,1.11,3.88,Low,Overdue
R03209,Operational risk affecting web application,Potential operational event may affect the web application used by Operations.,Operations,Operational,Web Application,N. Silva,3,3,4,2,4,2,1,4,3,0,3,0.383,0.193,402,4,None,In Progress,235,0,237,9,5.55,10.38,High,Open
R03210,Financial risk affecting database,Potential financial event may affect the database used by Procurement.,Procurement,Financial,Database,N. Silva,4,4,2,3,7,1,1,1,1,0,4,0.665,0.548,63,2,ISO 27001,In Progress,166,0,814,16,5.36,7.13,Medium,Open
R03211,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Information Technology.,Information Technology,Data Privacy,Endpoint Fleet,R. Gunawardena,2,2,3,4,5,1,0,1,0,0,4,0.601,0.647,327,2,ISO 27001,Implemented,-354,0,856,4,1.59,1.59,Low,Closed
R03212,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Finance.,Finance,Data Privacy,Cloud Service,N. Silva,3,3,5,3,7,1,1,0,2,0,1,0.625,0.523,375,2,SOX,In Progress,-134,0,741,9,3.37,4.65,Low,Overdue
R03213,Operational risk affecting erp system,Potential operational event may affect the erp system used by Customer Support.,Customer Support,Operational,ERP System,D. Senanayake,4,4,5,3,2,0,0,2,1,1,4,0.636,0.592,121,1,None,Planned,-90,0,171,16,5.82,9.53,High,Overdue
R03214,Data Privacy risk affecting web application,Potential data privacy event may affect the web application used by Information Technology.,Information Technology,Data Privacy,Web Application,K. Fernando,3,3,4,2,7,0,1,2,2,0,2,0.63,0.593,14,2,SOX,Not Started,63,0,789,9,3.33,5.55,Medium,Open
R03215,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Operations.,Operations,Regulatory Compliance,Web Application,R. Gunawardena,4,3,4,4,6,0,0,2,1,0,2,0.888,0.881,474,0,Local Privacy Law,In Progress,-45,0,283,12,1.35,3.17,Low,Overdue
R03216,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Sales.,Sales,Regulatory Compliance,Web Application,M. Wijesinghe,4,2,3,3,8,0,1,1,6,1,5,0.757,0.743,372,0,NIST CSF,Planned,222,0,800,8,1.95,3.03,Low,Open
R03217,Business Continuity risk affecting payment system,Potential business continuity event may affect the payment system used by Operations.,Operations,Business Continuity,Payment System,R. Gunawardena,2,3,3,4,4,2,1,1,0,0,2,0.806,0.839,253,3,NIST CSF,Implemented,-226,0,800,6,1.17,6.66,Medium,Closed
R03218,Financial risk affecting payment system,Potential financial event may affect the payment system used by Finance.,Finance,Financial,Payment System,A. Perera,3,4,2,2,2,1,1,0,2,0,3,0.52,0.591,447,3,SOX,Implemented,35,0,655,12,5.76,6.48,Medium,Closed
R03219,Operational risk affecting endpoint fleet,Potential operational event may affect the endpoint fleet used by Information Technology.,Information Technology,Operational,Endpoint Fleet,N. Silva,3,2,2,2,3,2,0,0,2,0,3,0.921,0.985,143,1,NIST CSF,In Progress,-24,0,295,6,0.48,1.96,Low,Overdue
R03220,Financial risk affecting payment system,Potential financial event may affect the payment system used by Legal.,Legal,Financial,Payment System,R. Gunawardena,3,4,3,5,4,2,1,2,1,0,1,0.809,0.904,447,1,ISO 27001,Planned,-47,0,516,12,2.3,3.03,Low,Overdue
R03221,Third-Party risk affecting network infrastructure,Potential third-party event may affect the network infrastructure used by Information Technology.,Information Technology,Third-Party,Network Infrastructure,R. Gunawardena,1,3,5,3,1,0,0,1,3,1,2,0.657,0.536,26,3,None,Risk Accepted,-232,1,268,3,1.03,4.34,Low,Open
R03222,Cybersecurity risk affecting erp system,Potential cybersecurity event may affect the erp system used by Finance.,Finance,Cybersecurity,ERP System,K. Fernando,4,3,3,3,8,2,0,1,2,0,4,0.61,0.578,397,1,None,Planned,145,0,490,12,4.68,5.9,Medium,Open
R03223,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Finance.,Finance,Access Management,HR Platform,T. Karunaratne,4,3,1,2,7,0,1,0,1,0,4,0.768,0.802,27,2,ISO 27001,In Progress,-49,0,508,12,2.79,3.44,Low,Overdue
R03224,Cybersecurity risk affecting hr platform,Potential cybersecurity event may affect the hr platform used by Information Technology.,Information Technology,Cybersecurity,HR Platform,K. Fernando,3,2,1,5,11,0,0,1,1,0,5,0.595,0.545,384,2,SOX,Planned,-82,0,485,6,2.43,3.58,Low,Overdue
R03225,Data Privacy risk affecting vendor service,Potential data privacy event may affect the vendor service used by Legal.,Legal,Data Privacy,Vendor Service,K. Fernando,3,3,5,2,4,1,0,1,0,1,2,0.492,0.441,266,1,Local Privacy Law,In Progress,-117,0,122,9,4.57,5.84,Medium,Overdue
R03226,Cybersecurity risk affecting database,Potential cybersecurity event may affect the database used by Customer Support.,Customer Support,Cybersecurity,Database,T. Karunaratne,3,3,3,3,9,0,1,2,0,0,3,0.699,0.73,163,0,None,In Progress,-130,0,162,9,2.71,4.63,Low,Overdue
R03227,Third-Party risk affecting database,Potential third-party event may affect the database used by Information Technology.,Information Technology,Third-Party,Database,S. Jayasinghe,2,1,4,3,5,0,2,1,1,1,7,0.706,0.689,161,1,None,Planned,53,0,287,2,0.59,2.91,Low,Open
R03228,Access Management risk affecting web application,Potential access management event may affect the web application used by Human Resources.,Human Resources,Access Management,Web Application,K. Fernando,3,3,4,5,3,0,2,1,5,0,5,0.579,0.489,196,3,Local Privacy Law,In Progress,-166,0,808,9,3.79,7.75,Medium,Overdue
R03229,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Operations.,Operations,Regulatory Compliance,ERP System,M. Wijesinghe,4,4,4,4,2,1,0,2,4,0,4,0.53,0.381,145,4,NIST CSF,Planned,210,0,451,16,7.52,10.2,High,Open
R03230,Data Privacy risk affecting web application,Potential data privacy event may affect the web application used by Information Technology.,Information Technology,Data Privacy,Web Application,T. Karunaratne,3,3,5,4,9,1,0,1,1,0,3,0.7,0.865,458,0,ISO 27001,Planned,237,0,292,9,2.7,3.89,Low,Open
R03231,Financial risk affecting cloud service,Potential financial event may affect the cloud service used by Operations.,Operations,Financial,Cloud Service,S. Jayasinghe,3,5,4,3,1,1,1,0,3,0,3,0.42,0.325,444,3,SOX,In Progress,122,0,479,15,8.7,11.69,High,Open
R03232,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Finance.,Finance,Regulatory Compliance,Web Application,D. Senanayake,2,2,2,4,1,1,1,1,2,0,4,0.776,0.885,11,0,ISO 27001,In Progress,219,0,850,4,0.9,2.32,Low,Open
R03233,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Operations.,Operations,Regulatory Compliance,ERP System,R. Gunawardena,4,4,5,4,9,0,1,2,0,1,4,0.495,0.646,449,3,Local Privacy Law,Not Started,227,0,169,16,8.08,12.14,High,Open
R03234,Regulatory Compliance risk affecting database,Potential regulatory compliance event may affect the database used by Customer Support.,Customer Support,Regulatory Compliance,Database,T. Karunaratne,5,3,5,4,5,2,1,0,0,0,4,0.864,0.786,404,0,NIST CSF,Not Started,-89,0,325,15,2.04,6.23,Medium,Overdue
R03235,Cybersecurity risk affecting network infrastructure,Potential cybersecurity event may affect the network infrastructure used by Information Technology.,Information Technology,Cybersecurity,Network Infrastructure,R. Gunawardena,3,5,2,2,10,2,1,0,1,0,6,0.713,0.557,455,1,GDPR,Risk Accepted,-232,1,284,15,4.31,6.34,Medium,Open
R03236,Operational risk affecting erp system,Potential operational event may affect the erp system used by Information Technology.,Information Technology,Operational,ERP System,S. Jayasinghe,3,3,2,2,9,1,0,1,4,0,4,0.568,0.552,162,2,ISO 27001,Implemented,-268,0,656,9,3.89,4.57,Low,Closed
R03237,Operational risk affecting database,Potential operational event may affect the database used by Information Technology.,Information Technology,Operational,Database,K. Fernando,2,3,2,4,9,1,1,1,2,0,3,0.636,0.752,491,3,NIST CSF,In Progress,13,0,99,6,2.18,2.97,Low,Open
R03238,Regulatory Compliance risk affecting network infrastructure,Potential regulatory compliance event may affect the network infrastructure used by Information Technology.,Information Technology,Regulatory Compliance,Network Infrastructure,K. Fernando,3,4,4,3,3,1,0,4,0,0,7,0.745,0.566,62,1,SOX,Not Started,5,0,671,12,3.06,4.51,Low,Open
R03239,Operational risk affecting database,Potential operational event may affect the database used by Information Technology.,Information Technology,Operational,Database,K. Fernando,3,2,2,4,5,1,0,2,3,0,6,0.659,0.523,317,2,GDPR,Implemented,-163,0,242,6,2.05,3.32,Low,Closed
R03240,Third-Party risk affecting cloud service,Potential third-party event may affect the cloud service used by Finance.,Finance,Third-Party,Cloud Service,M. Wijesinghe,2,1,3,3,7,0,0,1,1,1,6,0.628,0.603,154,1,None,In Progress,-36,0,384,2,0.74,1.35,Low,Overdue
R03241,Operational risk affecting vendor service,Potential operational event may affect the vendor service used by Information Technology.,Information Technology,Operational,Vendor Service,T. Karunaratne,3,4,1,3,8,1,1,0,2,1,3,0.588,0.695,377,0,Local Privacy Law,Not Started,128,0,788,12,4.94,6.14,Medium,Open
R03242,Access Management risk affecting endpoint fleet,Potential access management event may affect the endpoint fleet used by Procurement.,Procurement,Access Management,Endpoint Fleet,S. Jayasinghe,2,2,5,3,9,2,1,1,4,0,6,0.836,0.877,362,0,None,Not Started,-90,0,682,4,0.66,3.73,Low,Overdue
R03243,Operational risk affecting erp system,Potential operational event may affect the erp system used by Finance.,Finance,Operational,ERP System,D. Senanayake,4,5,3,3,22,1,5,3,2,0,3,0.367,0.342,140,3,None,Not Started,-9,0,674,20,12.66,16.18,Critical,Overdue
R03244,Access Management risk affecting cloud service,Potential access management event may affect the cloud service used by Operations.,Operations,Access Management,Cloud Service,D. Senanayake,3,3,4,2,3,3,0,0,4,1,1,0.657,0.693,405,3,Local Privacy Law,In Progress,136,0,494,9,3.09,9.12,Medium,Open
R03245,Cybersecurity risk affecting web application,Potential cybersecurity event may affect the web application used by Finance.,Finance,Cybersecurity,Web Application,S. Jayasinghe,1,4,4,3,16,2,2,2,3,0,3,0.713,0.668,281,0,None,In Progress,133,0,710,4,1.15,4.13,Low,Open
R03246,Access Management risk affecting hr platform,Potential access management event may affect the hr platform used by Information Technology.,Information Technology,Access Management,HR Platform,A. Perera,2,3,4,4,6,0,4,2,1,0,3,0.15,0.239,438,4,GDPR,In Progress,-76,0,19,6,5.1,8.08,Medium,Overdue
R03247,Access Management risk affecting erp system,Potential access management event may affect the erp system used by Sales.,Sales,Access Management,ERP System,M. Wijesinghe,2,2,2,2,0,0,0,2,2,1,2,0.8,0.709,149,1,PCI DSS,In Progress,140,0,782,4,0.8,0.12,Low,Open
R03248,Access Management risk affecting web application,Potential access management event may affect the web application used by Finance.,Finance,Access Management,Web Application,A. Perera,5,5,3,2,7,0,0,0,0,1,6,0.556,0.405,411,2,ISO 27001,In Progress,-71,0,48,25,11.1,11.0,High,Overdue
R03249,Third-Party risk affecting web application,Potential third-party event may affect the web application used by Finance.,Finance,Third-Party,Web Application,A. Perera,4,3,3,2,4,1,0,1,4,1,4,0.529,0.636,358,1,None,Implemented,-139,0,125,12,5.65,9.72,High,Closed
R03250,Financial risk affecting payment system,Potential financial event may affect the payment system used by Procurement.,Procurement,Financial,Payment System,N. Silva,5,4,4,4,2,1,0,3,2,0,2,0.37,0.472,15,4,ISO 27001,Risk Accepted,-173,1,326,20,12.6,16.16,Critical,Open
R03251,Access Management risk affecting payment system,Potential access management event may affect the payment system used by Information Technology.,Information Technology,Access Management,Payment System,A. Perera,2,4,3,3,6,0,1,0,6,0,5,0.243,0.288,173,4,None,Not Started,-150,0,567,8,6.05,9.07,Medium,Overdue
R03252,Operational risk affecting payment system,Potential operational event may affect the payment system used by Customer Support.,Customer Support,Operational,Payment System,R. Gunawardena,3,3,4,3,10,0,0,3,3,0,6,0.533,0.586,411,3,PCI DSS,Risk Accepted,-336,1,677,9,4.2,5.63,Medium,Open
R03253,Third-Party risk affecting vendor service,Potential third-party event may affect the vendor service used by Information Technology.,Information Technology,Third-Party,Vendor Service,N. Silva,3,4,4,2,2,2,1,1,2,1,3,0.534,0.691,381,2,None,Implemented,-302,0,826,12,5.6,5.89,Medium,Closed
R03254,Data Privacy risk affecting cloud service,Potential data privacy event may affect the cloud service used by Human Resources.,Human Resources,Data Privacy,Cloud Service,T. Karunaratne,3,2,3,3,9,4,0,1,2,0,7,0.723,0.501,383,1,NIST CSF,Risk Accepted,-25,1,52,6,1.66,2.97,Low,Open
R03255,Data Privacy risk affecting endpoint fleet,Potential data privacy event may affect the endpoint fleet used by Finance.,Finance,Data Privacy,Endpoint Fleet,A. Perera,3,1,3,3,9,1,0,1,4,0,7,0.485,0.46,192,1,Local Privacy Law,In Progress,61,0,767,3,1.55,2.83,Low,Open
R03256,Operational risk affecting payment system,Potential operational event may affect the payment system used by Information Technology.,Information Technology,Operational,Payment System,N. Silva,1,4,4,3,5,1,2,1,1,1,2,0.511,0.63,134,3,None,Implemented,0,0,763,4,1.95,6.34,Medium,Closed
R03257,Data Privacy risk affecting payment system,Potential data privacy event may affect the payment system used by Information Technology.,Information Technology,Data Privacy,Payment System,R. Gunawardena,1,2,3,3,4,3,0,1,4,0,7,0.815,0.883,496,0,GDPR,Not Started,17,0,548,2,0.37,2.1,Low,Open
R03258,Regulatory Compliance risk affecting web application,Potential regulatory compliance event may affect the web application used by Sales.,Sales,Regulatory Compliance,Web Application,N. Silva,1,2,4,2,8,1,1,1,1,0,5,0.715,0.851,325,1,ISO 27001,Implemented,-353,0,742,2,0.57,1.33,Low,Closed
R03259,Regulatory Compliance risk affecting hr platform,Potential regulatory compliance event may affect the hr platform used by Human Resources.,Human Resources,Regulatory Compliance,HR Platform,N. Silva,4,3,4,3,6,2,0,0,1,0,7,0.816,0.774,304,1,ISO 27001,Planned,-24,0,615,12,2.21,4.69,Low,Overdue
R03260,Operational risk affecting erp system,Potential operational event may affect the erp system used by Human Resources.,Human Resources,Operational,ERP System,A. Perera,4,4,4,1,1,1,0,0,1,1,4,0.882,0.891,430,2,None,In Progress,2,0,751,16,1.88,1.28,Low,Open
R03261,Operational risk affecting web application,Potential operational event may affect the web application used by Procurement.,Procurement,Operational,Web Application,K. Fernando,2,2,2,3,6,1,0,0,1,0,5,0.497,0.55,122,2,Local Privacy Law,Implemented,-299,0,110,4,2.01,1.05,Low,Closed
R03262,Regulatory Compliance risk affecting erp system,Potential regulatory compliance event may affect the erp system used by Information Technology.,Information Technology,Regulatory Compliance,ERP System,N. Silva,1,4,3,4,7,0,0,1,2,0,1,0.677,0.53,480,4,GDPR,Not Started,175,0,808,4,1.29,3.13,Low,Open
R03263,Operational risk affecting vendor service,Potential operational event may affect the vendor service used by Human Resources.,Human Resources,Operational,Vendor Service,K. Fernando,3,3,2,3,5,0,1,0,1,1,4,0.614,0.611,434,2,NIST CSF,In Progress,160,0,396,9,3.48,4.74,Low,Open
R03264,Business Continuity risk affecting erp system,Potential business continuity event may affect the erp system used by Operations.,Operations,Business Continuity,ERP System,A. Perera,3,3,4,3,7,1,1,2,0,0,3,0.439,0.393,398,4,None,Planned,132,0,642,9,5.05,8.14,Medium,Open
R03265,Third-Party risk affecting hr platform,Potential third-party event may affect the hr platform used by Operations.,Operations,Third-Party,HR Platform,K. Fernando,3,3,2,3,5,0,1,0,1,1,6,0.77,0.782,400,0,None,In Progress,-2,0,7,9,2.07,2.78,Low,Overdue
R03266,Third-Party risk affecting erp system,Potential third-party event may affect the erp system used by Operations.,Operations,Third-Party,ERP System,D. Senanayake,3,3,3,3,8,1,3,1,2,1,1,0.705,0.788,482,2,None,Implemented,0,0,162,9,2.66,7.57,Medium,Closed
R03267,Business Continuity risk affecting web application,Potential business continuity event may affect the web application used by Information Technology.,Information Technology,Business Continuity,Web Application,A. Perera,3,5,3,3,12,4,1,1,0,0,5,0.618,0.708,451,3,Local Privacy Law,Implemented,-141,0,406,15,5.74,9.49,Medium,Closed
R03268,Cybersecurity risk affecting web application,Potential cybersecurity event may affect the web application used by Operations.,Operations,Cybersecurity,Web Application,S. Jayasinghe,3,3,4,2,13,3,1,1,2,0,7,0.85,0.768,100,0,None,Planned,-63,0,446,9,1.35,4.55,Low,Overdue
R03269,Data Privacy risk affecting network infrastructure,Potential data privacy event may affect the network infrastructure used by Customer Support.,Customer Support,Data Privacy,Network Infrastructure,M. Wijesinghe,2,3,5,4,5,1,2,2,0,0,5,0.488,0.772,267,2,GDPR,Not Started,107,0,375,6,3.07,5.61,Medium,Open
R03270,Financial risk affecting database,Potential financial event may affect the database used by Finance.,Finance,Financial,Database,S. Jayasinghe,3,3,3,4,1,0,1,0,1,0,1,0.629,0.662,245,2,ISO 27001,In Progress,208,0,412,9,3.34,2.81,Low,Open
